date,AAPL,ABT,ADBE,AMD,AMGN,AMZN,AXP,BA,BAC,BIL,BMY,C,CAT,CMCSA,COP,COST,CRM,CSCO,CVX,DE,DIS,DUK,EFA,FDX,GE,GILD,GLD,GOOGL,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,LLY,LOW,MA,MCD,META,MMM,MRK,MS,MSFT,MU,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,QCOM,SBUX,SLB,SO,SPY,T,TGT,TLT,TSLA,TXN,UNH,UNP,UPS,USB,V,VZ,WFC,WMT,XOM
2005-01-03,0.947,13.667,30.839,21.41,43.152,2.226,35.721,35.679,28.706,,11.176,296.347,28.123,6.888,15.838,32.141,4.079,12.434,22.464,24.272,22.092,16.418,28.501,62.955,105.051,5.959,43.02,5.028,75.005,25.512,19.575,49.316,13.335,34.154,22.155,10.871,30.514,20.373,,17.769,,37.102,13.813,29.302,18.339,11.703,4.864,0.17,8.531,0.18,10.685,28.146,10.062,30.442,26.277,11.276,20.552,12.795,81.175,4.298,30.966,44.223,,14.878,33.212,10.91,42.527,15.504,,12.175,17.158,11.668,24.545
2005-01-04,0.957,13.53,30.024,20.21,42.468,2.107,35.184,34.986,28.311,,11.053,293.83,27.812,6.712,15.735,31.564,4.02,11.945,22.31,23.693,21.854,16.254,27.954,61.831,103.788,5.813,42.74,4.825,74.519,25.186,19.226,48.786,13.069,34.045,21.927,10.719,30.107,19.948,,17.914,,36.8,13.756,28.987,18.407,11.372,4.805,0.167,8.409,0.171,10.406,27.945,10.062,30.061,26.159,11.268,20.395,12.787,80.183,4.252,30.631,43.759,,14.521,32.871,10.645,41.987,15.43,,12.052,17.172,11.639,24.378
2005-01-05,0.965,13.374,29.859,19.75,41.796,2.089,34.858,35.567,27.983,,11.018,297.513,27.28,6.775,15.851,31.685,4.411,11.951,22.455,23.463,21.735,16.13,27.937,61.753,103.157,5.732,42.67,4.8,74.183,24.955,19.17,48.685,12.942,34.023,21.972,10.67,30.421,19.779,,17.774,,36.35,13.848,28.819,18.366,11.245,4.743,0.16,8.309,0.173,10.438,27.978,9.994,30.375,26.271,11.361,20.459,12.71,79.629,4.272,30.655,43.993,,14.084,32.986,10.547,41.902,15.509,,12.034,17.191,11.655,24.251
2005-01-06,0.966,13.676,29.364,19.72,42.186,2.053,34.679,35.336,27.94,,11.0,300.399,27.682,6.764,16.081,32.141,4.355,12.131,22.83,23.789,21.767,16.13,27.937,61.527,103.989,5.768,42.15,4.677,75.205,24.583,19.043,48.534,12.982,34.121,22.098,10.759,30.665,19.842,,17.914,,36.678,13.946,29.501,18.346,11.128,4.82,0.158,8.298,0.171,10.533,28.178,10.001,30.524,26.699,11.018,20.859,12.628,80.034,4.296,28.993,44.023,,14.029,33.714,10.612,41.857,15.474,,12.008,17.252,11.821,24.559
2005-01-07,1.037,13.91,29.384,19.92,42.273,2.116,34.423,35.217,27.637,,10.996,298.68,27.623,6.825,15.98,31.866,4.313,12.048,22.574,23.46,21.552,16.169,27.811,61.346,103.358,5.756,41.84,4.808,74.884,24.517,18.971,48.322,13.179,33.996,21.921,10.772,30.519,19.916,,17.797,,37.057,13.756,29.386,18.291,11.177,4.811,0.159,8.249,0.168,10.621,28.422,10.005,30.844,26.836,11.005,20.322,12.687,79.92,4.284,29.304,44.123,,14.103,33.446,10.483,41.776,15.205,,11.965,17.23,11.808,24.398
2005-01-10,1.032,14.045,29.404,20.13,42.723,2.092,34.493,35.686,27.983,,11.102,296.776,27.369,6.963,16.125,31.926,4.173,12.048,22.676,23.353,21.64,16.346,27.937,61.785,103.099,5.758,41.95,4.838,75.027,24.742,18.91,48.271,13.225,34.262,21.847,10.832,30.888,20.331,,17.685,,37.795,13.919,29.38,18.38,11.148,4.827,0.161,8.331,0.168,10.509,29.132,10.058,31.087,26.792,10.665,20.446,12.787,80.297,4.253,29.699,44.193,,13.912,33.588,10.483,41.837,15.16,,11.85,17.219,11.749,24.491
2005-01-11,0.966,13.787,29.054,14.86,42.817,2.082,34.173,35.574,27.915,,10.933,296.04,26.99,6.961,16.119,31.752,4.035,11.996,22.685,23.044,21.584,16.228,27.883,61.669,101.635,5.628,42.21,4.801,74.448,24.689,18.854,47.928,13.029,34.143,21.636,10.772,30.937,20.239,,17.367,,38.142,13.773,29.066,18.332,10.816,4.772,0.157,8.292,0.163,10.517,28.975,9.948,31.054,26.848,10.584,20.302,12.772,79.744,4.21,29.418,44.452,,13.764,33.553,10.408,41.676,15.055,,11.719,17.186,11.72,24.427
2005-01-12,0.98,13.82,29.484,15.02,43.548,2.115,34.096,36.358,27.841,,10.96,295.119,27.324,6.957,16.433,31.893,3.711,12.183,23.166,23.293,21.989,16.385,28.107,61.061,102.439,5.686,42.6,4.846,73.804,24.979,19.398,48.034,13.387,34.382,21.687,10.772,31.343,20.183,,17.501,,38.254,13.734,29.119,18.366,11.05,4.795,0.154,8.333,0.162,10.74,29.051,9.902,31.17,26.774,10.516,20.481,12.737,80.007,4.238,29.735,44.512,,13.777,33.775,10.347,38.614,15.155,,11.607,16.956,11.828,24.79
2005-01-13,1.045,13.555,29.104,15.16,42.891,2.13,33.859,35.441,27.495,,10.844,292.234,27.469,6.949,16.684,32.034,3.748,12.086,22.976,23.477,22.012,16.405,27.865,60.602,101.147,5.578,42.6,4.845,73.569,24.701,19.176,47.651,13.19,33.649,21.561,10.662,30.606,19.852,,17.25,,37.728,13.544,29.234,18.016,10.894,4.818,0.155,8.28,0.164,10.74,28.677,9.636,30.629,26.14,10.212,20.536,12.698,79.366,4.173,29.442,44.94,,13.66,33.894,10.028,38.074,15.03,,11.264,16.806,11.731,24.77
2005-01-14,1.051,13.62,29.109,15.16,42.837,2.227,33.757,35.637,27.736,,10.858,291.681,27.715,7.035,16.763,32.389,3.686,12.15,23.082,23.573,22.449,16.47,27.999,60.318,101.979,5.605,42.32,4.96,74.483,24.802,19.597,47.474,13.306,34.045,21.584,10.722,31.056,20.004,,17.484,,37.809,13.641,29.535,17.914,10.933,4.821,0.162,8.367,0.164,10.86,28.628,9.606,30.822,26.209,10.367,20.593,12.748,79.785,4.169,29.741,44.935,,13.826,34.339,10.004,37.999,15.075,,11.185,16.82,11.808,25.025
